field,source,current use,reason blocked,what permission/review would unblock it
Portfolio System Evaluation,FREIDA-derived canonical workbook,INTERNAL_FULL_RISE only,No written source-owner display/database grant is present; row-level provenance is FREIDA.,Written source-owner authorization or independent field re-verification from a rights-safe source with a recorded rights decision.
Resident OSCE Evaluation,FREIDA-derived canonical workbook,INTERNAL_FULL_RISE only,No written source-owner display/database grant is present; row-level provenance is FREIDA.,Written source-owner authorization or independent field re-verification from a rights-safe source with a recorded rights decision.
Major Medical Residents,FREIDA-derived canonical workbook,INTERNAL_FULL_RISE only,No written source-owner display/database grant is present; row-level provenance is FREIDA.,Written source-owner authorization or independent field re-verification from a rights-safe source with a recorded rights decision.
Major Medical Dependents,FREIDA-derived canonical workbook,INTERNAL_FULL_RISE only,No written source-owner display/database grant is present; row-level provenance is FREIDA.,Written source-owner authorization or independent field re-verification from a rights-safe source with a recorded rights decision.
Major Medical Domestic Partners,FREIDA-derived canonical workbook,INTERNAL_FULL_RISE only,No written source-owner display/database grant is present; row-level provenance is FREIDA.,Written source-owner authorization or independent field re-verification from a rights-safe source with a recorded rights decision.
Outpatient Mental Health,FREIDA-derived canonical workbook,INTERNAL_FULL_RISE only,No written source-owner display/database grant is present; row-level provenance is FREIDA.,Written source-owner authorization or independent field re-verification from a rights-safe source with a recorded rights decision.
Inpatient Mental Health,FREIDA-derived canonical workbook,INTERNAL_FULL_RISE only,No written source-owner display/database grant is present; row-level provenance is FREIDA.,Written source-owner authorization or independent field re-verification from a rights-safe source with a recorded rights decision.
Group Life Insurance,FREIDA-derived canonical workbook,INTERNAL_FULL_RISE only,No written source-owner display/database grant is present; row-level provenance is FREIDA.,Written source-owner authorization or independent field re-verification from a rights-safe source with a recorded rights decision.
Dental Insurance,FREIDA-derived canonical workbook,INTERNAL_FULL_RISE only,No written source-owner display/database grant is present; row-level provenance is FREIDA.,Written source-owner authorization or independent field re-verification from a rights-safe source with a recorded rights decision.
Disability Insurance,FREIDA-derived canonical workbook,INTERNAL_FULL_RISE only,No written source-owner display/database grant is present; row-level provenance is FREIDA.,Written source-owner authorization or independent field re-verification from a rights-safe source with a recorded rights decision.
Salary Paid By,FREIDA-derived canonical workbook,INTERNAL_FULL_RISE only,No written source-owner display/database grant is present; row-level provenance is FREIDA.,Written source-owner authorization or independent field re-verification from a rights-safe source with a recorded rights decision.
Sick Days,FREIDA-derived canonical workbook,INTERNAL_FULL_RISE only,No written source-owner display/database grant is present; row-level provenance is FREIDA.,Written source-owner authorization or independent field re-verification from a rights-safe source with a recorded rights decision.
Family Medical Leave Paid Days,FREIDA-derived canonical workbook,INTERNAL_FULL_RISE only,No written source-owner display/database grant is present; row-level provenance is FREIDA.,Written source-owner authorization or independent field re-verification from a rights-safe source with a recorded rights decision.
Family Medical Leave Unpaid Days,FREIDA-derived canonical workbook,INTERNAL_FULL_RISE only,No written source-owner display/database grant is present; row-level provenance is FREIDA.,Written source-owner authorization or independent field re-verification from a rights-safe source with a recorded rights decision.
Quality of Life City,FREIDA-derived canonical workbook,INTERNAL_FULL_RISE only,No written source-owner display/database grant is present; row-level provenance is FREIDA.,Written source-owner authorization or independent field re-verification from a rights-safe source with a recorded rights decision.
Purchasing Power Index,FREIDA-derived canonical workbook,INTERNAL_FULL_RISE only,No written source-owner display/database grant is present; row-level provenance is FREIDA.,Written source-owner authorization or independent field re-verification from a rights-safe source with a recorded rights decision.
Safety Index,FREIDA-derived canonical workbook,INTERNAL_FULL_RISE only,No written source-owner display/database grant is present; row-level provenance is FREIDA.,Written source-owner authorization or independent field re-verification from a rights-safe source with a recorded rights decision.
Health Care Index,FREIDA-derived canonical workbook,INTERNAL_FULL_RISE only,No written source-owner display/database grant is present; row-level provenance is FREIDA.,Written source-owner authorization or independent field re-verification from a rights-safe source with a recorded rights decision.
Climate Index,FREIDA-derived canonical workbook,INTERNAL_FULL_RISE only,No written source-owner display/database grant is present; row-level provenance is FREIDA.,Written source-owner authorization or independent field re-verification from a rights-safe source with a recorded rights decision.
Cost of Living Index,FREIDA-derived canonical workbook,INTERNAL_FULL_RISE only,No written source-owner display/database grant is present; row-level provenance is FREIDA.,Written source-owner authorization or independent field re-verification from a rights-safe source with a recorded rights decision.
Property Price to Income Ratio,FREIDA-derived canonical workbook,INTERNAL_FULL_RISE only,No written source-owner display/database grant is present; row-level provenance is FREIDA.,Written source-owner authorization or independent field re-verification from a rights-safe source with a recorded rights decision.
Traffic Commute Time Index,FREIDA-derived canonical workbook,INTERNAL_FULL_RISE only,No written source-owner display/database grant is present; row-level provenance is FREIDA.,Written source-owner authorization or independent field re-verification from a rights-safe source with a recorded rights decision.
Pollution Index,FREIDA-derived canonical workbook,INTERNAL_FULL_RISE only,No written source-owner display/database grant is present; row-level provenance is FREIDA.,Written source-owner authorization or independent field re-verification from a rights-safe source with a recorded rights decision.
Estimated Monthly Cost Family of 4,FREIDA-derived canonical workbook,INTERNAL_FULL_RISE only,No written source-owner display/database grant is present; row-level provenance is FREIDA.,Written source-owner authorization or independent field re-verification from a rights-safe source with a recorded rights decision.
Estimated Monthly Cost Single Person,FREIDA-derived canonical workbook,INTERNAL_FULL_RISE only,No written source-owner display/database grant is present; row-level provenance is FREIDA.,Written source-owner authorization or independent field re-verification from a rights-safe source with a recorded rights decision.
Survey Received,FREIDA-derived canonical workbook,INTERNAL_FULL_RISE only,No written source-owner display/database grant is present; row-level provenance is FREIDA.,Written source-owner authorization or independent field re-verification from a rights-safe source with a recorded rights decision.
FREIDA Last Updated,FREIDA-derived canonical workbook,INTERNAL_FULL_RISE only,No written source-owner display/database grant is present; row-level provenance is FREIDA.,Written source-owner authorization or independent field re-verification from a rights-safe source with a recorded rights decision.
FREIDA Program ID,FREIDA-derived canonical workbook,INTERNAL_FULL_RISE only,No written source-owner display/database grant is present; row-level provenance is FREIDA.,Written source-owner authorization or independent field re-verification from a rights-safe source with a recorded rights decision.
Program Best Described As,FREIDA-derived canonical workbook,INTERNAL_FULL_RISE only,No written source-owner display/database grant is present; row-level provenance is FREIDA.,Written source-owner authorization or independent field re-verification from a rights-safe source with a recorded rights decision.
Resident Gender Female Percent,FREIDA-derived canonical workbook,INTERNAL_FULL_RISE only,No written source-owner display/database grant is present; row-level provenance is FREIDA.,Written source-owner authorization or independent field re-verification from a rights-safe source with a recorded rights decision.
Resident Gender Male Percent,FREIDA-derived canonical workbook,INTERNAL_FULL_RISE only,No written source-owner display/database grant is present; row-level provenance is FREIDA.,Written source-owner authorization or independent field re-verification from a rights-safe source with a recorded rights decision.
DO Graduates Percent,FREIDA-derived canonical workbook,INTERNAL_FULL_RISE only,No written source-owner display/database grant is present; row-level provenance is FREIDA.,Written source-owner authorization or independent field re-verification from a rights-safe source with a recorded rights decision.
US MD Graduates Percent,FREIDA-derived canonical workbook,INTERNAL_FULL_RISE only,No written source-owner display/database grant is present; row-level provenance is FREIDA.,Written source-owner authorization or independent field re-verification from a rights-safe source with a recorded rights decision.
IMG Graduates Percent,FREIDA-derived canonical workbook,INTERNAL_FULL_RISE only,No written source-owner display/database grant is present; row-level provenance is FREIDA.,Written source-owner authorization or independent field re-verification from a rights-safe source with a recorded rights decision.
Historical Interview Stats,FREIDA-derived canonical workbook,INTERNAL_FULL_RISE only,No written source-owner display/database grant is present; row-level provenance is FREIDA.,Written source-owner authorization or independent field re-verification from a rights-safe source with a recorded rights decision.
Official Program Description,FREIDA-derived canonical workbook,INTERNAL_FULL_RISE only,No written source-owner display/database grant is present; row-level provenance is FREIDA.,Written source-owner authorization or independent field re-verification from a rights-safe source with a recorded rights decision.
Curriculum Summary,FREIDA-derived canonical workbook,INTERNAL_FULL_RISE only,No written source-owner display/database grant is present; row-level provenance is FREIDA.,Written source-owner authorization or independent field re-verification from a rights-safe source with a recorded rights decision.
Didactics,FREIDA-derived canonical workbook,INTERNAL_FULL_RISE only,No written source-owner display/database grant is present; row-level provenance is FREIDA.,Written source-owner authorization or independent field re-verification from a rights-safe source with a recorded rights decision.
Career Mentorship,FREIDA-derived canonical workbook,INTERNAL_FULL_RISE only,No written source-owner display/database grant is present; row-level provenance is FREIDA.,Written source-owner authorization or independent field re-verification from a rights-safe source with a recorded rights decision.
Interview Style,FREIDA-derived canonical workbook,INTERNAL_FULL_RISE only,No written source-owner display/database grant is present; row-level provenance is FREIDA.,Written source-owner authorization or independent field re-verification from a rights-safe source with a recorded rights decision.
Behavioral %,FREIDA-derived canonical workbook,INTERNAL_FULL_RISE only,No written source-owner display/database grant is present; row-level provenance is FREIDA.,Written source-owner authorization or independent field re-verification from a rights-safe source with a recorded rights decision.
Traditional %,FREIDA-derived canonical workbook,INTERNAL_FULL_RISE only,No written source-owner display/database grant is present; row-level provenance is FREIDA.,Written source-owner authorization or independent field re-verification from a rights-safe source with a recorded rights decision.
Stress Interview,FREIDA-derived canonical workbook,INTERNAL_FULL_RISE only,No written source-owner display/database grant is present; row-level provenance is FREIDA.,Written source-owner authorization or independent field re-verification from a rights-safe source with a recorded rights decision.
Virtual,FREIDA-derived canonical workbook,INTERNAL_FULL_RISE only,No written source-owner display/database grant is present; row-level provenance is FREIDA.,Written source-owner authorization or independent field re-verification from a rights-safe source with a recorded rights decision.
In Person,FREIDA-derived canonical workbook,INTERNAL_FULL_RISE only,No written source-owner display/database grant is present; row-level provenance is FREIDA.,Written source-owner authorization or independent field re-verification from a rights-safe source with a recorded rights decision.
Program Values,FREIDA-derived canonical workbook,INTERNAL_FULL_RISE only,No written source-owner display/database grant is present; row-level provenance is FREIDA.,Written source-owner authorization or independent field re-verification from a rights-safe source with a recorded rights decision.
Mission Statement,FREIDA-derived canonical workbook,INTERNAL_FULL_RISE only,No written source-owner display/database grant is present; row-level provenance is FREIDA.,Written source-owner authorization or independent field re-verification from a rights-safe source with a recorded rights decision.
Culture Notes,FREIDA-derived canonical workbook,INTERNAL_FULL_RISE only,No written source-owner display/database grant is present; row-level provenance is FREIDA.,Written source-owner authorization or independent field re-verification from a rights-safe source with a recorded rights decision.
MissionMed Alumni,FREIDA-derived canonical workbook,INTERNAL_FULL_RISE only,No written source-owner display/database grant is present; row-level provenance is FREIDA.,Written source-owner authorization or independent field re-verification from a rights-safe source with a recorded rights decision.
ACTN Connections,FREIDA-derived canonical workbook,INTERNAL_FULL_RISE only,No written source-owner display/database grant is present; row-level provenance is FREIDA.,Written source-owner authorization or independent field re-verification from a rights-safe source with a recorded rights decision.
StoryForge Tags,FREIDA-derived canonical workbook,INTERNAL_FULL_RISE only,No written source-owner display/database grant is present; row-level provenance is FREIDA.,Written source-owner authorization or independent field re-verification from a rights-safe source with a recorded rights decision.
Timeline Assets,FREIDA-derived canonical workbook,INTERNAL_FULL_RISE only,No written source-owner display/database grant is present; row-level provenance is FREIDA.,Written source-owner authorization or independent field re-verification from a rights-safe source with a recorded rights decision.
CAM Interview Pack,FREIDA-derived canonical workbook,INTERNAL_FULL_RISE only,No written source-owner display/database grant is present; row-level provenance is FREIDA.,Written source-owner authorization or independent field re-verification from a rights-safe source with a recorded rights decision.
Interview Questions,FREIDA-derived canonical workbook,INTERNAL_FULL_RISE only,No written source-owner display/database grant is present; row-level provenance is FREIDA.,Written source-owner authorization or independent field re-verification from a rights-safe source with a recorded rights decision.
MissionMed Notes,FREIDA-derived canonical workbook,INTERNAL_FULL_RISE only,No written source-owner display/database grant is present; row-level provenance is FREIDA.,Written source-owner authorization or independent field re-verification from a rights-safe source with a recorded rights decision.
Primary Source,FREIDA-derived canonical workbook,INTERNAL_FULL_RISE only,No written source-owner display/database grant is present; row-level provenance is FREIDA.,Written source-owner authorization or independent field re-verification from a rights-safe source with a recorded rights decision.
Secondary Source,FREIDA-derived canonical workbook,INTERNAL_FULL_RISE only,No written source-owner display/database grant is present; row-level provenance is FREIDA.,Written source-owner authorization or independent field re-verification from a rights-safe source with a recorded rights decision.
Evidence URL,FREIDA-derived canonical workbook,INTERNAL_FULL_RISE only,No written source-owner display/database grant is present; row-level provenance is FREIDA.,Written source-owner authorization or independent field re-verification from a rights-safe source with a recorded rights decision.
Evidence Notes,FREIDA-derived canonical workbook,INTERNAL_FULL_RISE only,No written source-owner display/database grant is present; row-level provenance is FREIDA.,Written source-owner authorization or independent field re-verification from a rights-safe source with a recorded rights decision.
Verification Date,FREIDA-derived canonical workbook,INTERNAL_FULL_RISE only,No written source-owner display/database grant is present; row-level provenance is FREIDA.,Written source-owner authorization or independent field re-verification from a rights-safe source with a recorded rights decision.
Verified By,FREIDA-derived canonical workbook,INTERNAL_FULL_RISE only,No written source-owner display/database grant is present; row-level provenance is FREIDA.,Written source-owner authorization or independent field re-verification from a rights-safe source with a recorded rights decision.
Confidence,FREIDA-derived canonical workbook,INTERNAL_FULL_RISE only,No written source-owner display/database grant is present; row-level provenance is FREIDA.,Written source-owner authorization or independent field re-verification from a rights-safe source with a recorded rights decision.
ALL_FIELDS,SOL56 official-source corpus,INTERNAL_FULL_RISE only,Student display authorization is false and per-domain rights decisions are incomplete.,Per-source terms review and affirmative student-display decision.
ALL_FIELDS,P1-RISE-4102 official-source corpus,INTERNAL_FULL_RISE only,Current-publishable fact count is zero and source-domain decisions are incomplete or deny reuse.,Field-level re-verification plus affirmative source-domain rights decision.
3 unmatched SOAP 2026 program identities,Recovered SOAP 2026 corpus,INTERNAL_FULL_RISE only,No exact ACGME identity exists in the canonical workbook.,A verified RISE crosswalk; display-name-only joins remain prohibited.
"HRSA narrative, award amount, and deeper enrichment",HRSA THCGME,Excluded,Only the bounded factual awardee projection is approved; broader reuse was not evaluated.,Legal/rights review for any broader or paid-tier reproduction.
